,"Variable:/:A:Value"
66.1000000000005,429.6
66.2000000000005,428.82
66.3000000000005,428.28
66.4000000000005,427.78
66.5000000000005,427.18
66.6000000000005,426.58
66.7000000000005,425.86
66.8000000000005,425.3
66.9000000000005,424.74
67.0000000000005,424.08
67.1000000000005,423.6
67.2000000000005,422.94
67.3000000000005,422.4
67.4000000000004,421.86
67.5000000000004,421.3
67.6000000000004,420.64
67.7000000000004,419.9
67.8000000000004,419.56
67.9000000000004,419.06
68.0000000000004,418.44
68.1000000000004,417.96
68.2000000000004,417.44
68.3000000000004,417.04
68.4000000000004,416.5
68.5000000000004,416.1
68.6000000000004,415.64
68.7000000000004,415.26
68.8000000000004,414.58
68.9000000000004,414.06
69.0000000000004,413.5
69.1000000000003,413.08
69.2000000000003,412.42
69.3000000000003,411.84
69.4000000000003,411.4
69.5000000000003,410.84
69.6000000000003,410.54
69.7000000000003,410.08
69.8000000000003,409.58
69.9000000000003,409.08
70.0000000000003,408.48
70.1000000000003,408.04
70.2000000000003,407.54
70.3000000000003,406.84
70.4000000000003,406.12
70.5000000000003,405.54
70.6000000000003,405.12
70.7000000000003,404.48
70.8000000000003,404.02
70.9000000000002,403.6
71.0000000000002,402.94
71.1000000000002,402.4
71.2000000000002,401.98
71.3000000000002,401.42
71.4000000000002,400.82
71.5000000000002,400.46
71.6000000000002,399.94
71.7000000000002,399.4
71.8000000000002,398.92
71.9000000000002,398.42
72.0000000000002,398
72.1000000000002,397.4
72.2000000000002,397
72.3000000000002,396.56
72.4000000000002,396.1
72.5000000000002,395.44
72.6000000000002,394.86
72.7000000000001,394.52
72.8000000000001,394.04
72.9000000000001,393.54
73.0000000000001,393.14
73.1000000000001,392.74
73.2000000000001,392.2
73.3000000000001,391.7
73.4000000000001,391.36
73.5000000000001,390.82
73.6000000000001,390.42
73.7000000000001,390.06
73.8000000000001,389.66
73.9000000000001,389.14
74.0000000000001,388.66
74.1000000000001,388.36
74.2000000000001,387.76
74.3000000000001,387.34
74.4,386.86
74.5,386.36
74.6,385.98
74.7,385.5
74.8,384.94
74.9,384.58
75,384.12
75.1,383.74
75.2,383.12
75.3,382.72
75.4,382.26
75.5,381.8
75.6,381.44
75.7,380.74
75.8,380.46
75.9,380.06
76,379.64
76.1,379.22
76.1999999999999,378.74
76.2999999999999,378.48
76.3999999999999,378
76.4999999999999,377.58
76.5999999999999,377.16
76.6999999999999,376.8
76.7999999999999,376.08
76.8999999999999,375.64
76.9999999999999,375.2
77.0999999999999,374.72
77.1999999999999,374.26
77.2999999999999,373.64
77.3999999999999,373.3
77.4999999999999,372.98
77.5999999999999,372.74
77.6999999999999,372.38
77.7999999999999,371.86
77.8999999999998,371.44
77.9999999999998,371.1
78.0999999999998,370.66
78.1999999999998,370.16
78.2999999999998,369.66
78.3999999999998,369.26
78.4999999999998,368.84
78.5999999999998,368.38
78.6999999999998,367.96
78.7999999999998,367.6
78.8999999999998,367.38
78.9999999999998,367.04
79.0999999999998,366.52
79.1999999999998,366.02
79.2999999999998,365.48
79.3999999999998,365.08
79.4999999999998,364.64
79.5999999999998,364.22
79.6999999999997,363.78
79.7999999999997,363.38
79.8999999999997,362.9
79.9999999999997,362.68
80.0999999999997,362.4
80.1999999999997,361.96
80.2999999999997,361.54
80.3999999999997,361
80.4999999999997,360.62
80.5999999999997,360.04
80.6999999999997,359.64
80.7999999999997,359.1
80.8999999999997,358.56
80.9999999999997,358.2
81.0999999999997,357.86
81.1999999999997,357.4
81.2999999999997,357.12
81.3999999999997,356.82
81.4999999999996,356.24
81.5999999999996,355.92
81.6999999999996,355.42
81.7999999999996,355.14
81.8999999999996,354.72
81.9999999999996,354.32
82.0999999999996,353.94
82.1999999999996,353.46
82.2999999999996,352.92
82.3999999999996,352.72
82.4999999999996,352.4
82.5999999999996,352.08
82.6999999999996,351.7
82.7999999999996,351.22
82.8999999999996,350.86
82.9999999999996,350.42
83.0999999999996,350.02
83.1999999999995,349.64
83.2999999999995,349.26
83.3999999999995,348.84
83.4999999999995,348.46
83.5999999999995,348.1
83.6999999999995,347.74
83.7999999999995,347.32
83.8999999999995,346.8
83.9999999999995,346.38
84.0999999999995,346.02
84.1999999999995,345.66
84.2999999999995,345.3
84.3999999999995,344.82
84.4999999999995,344.38
84.5999999999995,344.06
84.6999999999995,343.76
84.7999999999995,343.46
84.8999999999995,343.18
84.9999999999994,342.88
85.0999999999994,342.46
85.1999999999994,341.96
85.2999999999994,341.5
85.3999999999994,341.28
85.4999999999994,340.86
85.5999999999994,340.4
85.6999999999994,340.02
85.7999999999994,339.5
85.8999999999994,339.24
85.9999999999994,338.86
86.0999999999994,338.36
86.1999999999994,338.12
86.2999999999994,337.88
86.3999999999994,337.64
86.4999999999994,337.2
86.5999999999994,336.78
86.6999999999993,336.5
86.7999999999993,336.12
86.8999999999993,335.94
86.9999999999993,335.54
87.0999999999993,335.2
87.1999999999993,334.76
87.2999999999993,334.4
87.3999999999993,334.06
87.4999999999993,333.76
87.5999999999993,333.28
87.6999999999993,332.92
87.7999999999993,332.5
87.8999999999993,332.1
87.9999999999993,331.78
88.0999999999993,331.42
88.1999999999993,331.04
88.2999999999993,330.78
88.3999999999993,330.4
88.4999999999992,330.02
88.5999999999992,329.58
88.6999999999992,329.2
88.7999999999992,328.88
88.8999999999992,328.54
88.9999999999992,328.16
89.0999999999992,327.7
89.1999999999992,327.32
89.2999999999992,326.9
89.3999999999992,326.6
89.4999999999992,326.2
89.5999999999992,325.98
89.6999999999992,325.58
89.7999999999992,325.32
89.8999999999992,325
89.9999999999992,324.64
90.0999999999992,324.34
90.1999999999992,324
90.2999999999991,323.52
90.3999999999991,323.2
90.4999999999991,322.94
90.5999999999991,322.66
90.6999999999991,322.38
90.7999999999991,322.02
90.8999999999991,321.84
90.9999999999991,321.5
91.0999999999991,321.16
91.1999999999991,320.82
91.2999999999991,320.6
91.3999999999991,320.42
91.4999999999991,320.18
91.5999999999991,319.94
91.6999999999991,319.68
91.7999999999991,319.4
91.8999999999991,318.98
91.999999999999,318.54
92.099999999999,318.24
92.199999999999,318.06
92.299999999999,317.84
92.399999999999,317.62
92.499999999999,317.34
92.599999999999,316.96
92.699999999999,316.66
92.799999999999,316.42
92.899999999999,316.08
92.999999999999,315.86
93.099999999999,315.56
93.199999999999,315.12
93.299999999999,314.9
93.399999999999,314.68
93.499999999999,314.4
93.599999999999,314.14
93.699999999999,313.72
93.7999999999989,313.48
93.8999999999989,313.24
93.9999999999989,313.08
94.0999999999989,312.84
94.1999999999989,312.54
94.2999999999989,312.28
94.3999999999989,311.88
94.4999999999989,311.66
94.5999999999989,311.4
94.6999999999989,311.08
94.7999999999989,310.74
94.8999999999989,310.4
94.9999999999989,309.9
95.0999999999989,309.56
95.1999999999989,309.3
95.2999999999989,309.02
95.3999999999989,308.86
95.4999999999988,308.54
95.5999999999988,308.32
95.6999999999988,308.18
95.7999999999988,307.82
95.8999999999988,307.58
95.9999999999988,307.16
96.0999999999988,306.92
96.1999999999988,306.64
96.2999999999988,306.42
96.3999999999988,306.14
96.4999999999988,305.8
96.5999999999988,305.58
96.6999999999988,305.36
96.7999999999988,304.98
96.8999999999988,304.68
96.9999999999988,304.36
97.0999999999988,304.12
97.1999999999988,303.8
97.2999999999987,303.52
